id,school,level,x,y,safety,attendance,misconduct,instr,teachers,leaders,outlier_score,cluster_x,cluster_y,cluster,behavior_score,academic_score,safety_dev,attendance_dev,misconduct_dev,instr_dev
104,Jean D Lafayette Elementary School,ES,-0.55650318447237,1.542345592336092,44.0,94.1,14.3,38.0,72.0,80.0,25.440012050394184,Mid,High,Mid-High,81.49168733351704,38.0,-7.5339366515837085,-0.4959276018099672,-4.981900452488688,-13.524886877828052
105,Jensen Elementary Scholastic Academy,ES,-0.1552541081991705,0.8690746401238465,35.0,93.1,17.2,67.0,40.0,43.0,15.570229096718444,Mid,High,Mid-High,77.90943326903647,67.0,-16.53393665158371,-1.4959276018099672,-2.0819004524886893,15.475113122171948
106,Johann W von Goethe Elementary School,ES,1.1573091537298963,-0.0509825118765797,75.0,95.8,5.6,52.0,69.0,62.0,11.697165194937707,High,Mid,High-Mid,92.4864517314228,52.0,23.46606334841629,1.2040723981900356,-13.681900452488689,0.47511312217194757
107,John Barry Elementary School,ES,-0.051306313656539,-0.1326502087629017,35.0,95.1,5.6,81.0,41.0,34.0,38.01805749685858,Mid,Mid,Mid-Mid,88.7480481307982,81.0,-16.53393665158371,0.5040723981900328,-13.681900452488689,29.475113122171948
108,John B Drake Elementary School,ES,-1.5501562585385578,-0.659337620646297,59.0,93.8,43.3,46.0,16.0,43.0,46.43974777588241,Low,Low,Low-Low,56.204647745017,46.0,7.4660633484162915,-0.7959276018099644,24.01809954751131,-5.524886877828052
109,John Calhoun North Elementary School,ES,2.957857869744711,2.815734805141946,52.0,95.9,4.6,54.0,88.0,79.0,18.350196966498775,High,High,High-High,91.3015523100946,54.0,0.4660633484162915,1.3040723981900442,-14.681900452488689,2.4751131221719476
110,John C Burroughs Elementary School,ES,0.5516711320887615,0.131356252142875,50.0,95.6,0.2,38.0,53.0,71.0,12.096680357597293,Mid,Mid,Mid-Mid,95.13180857903922,38.0,-1.5339366515837085,1.0040723981900328,-19.08190045248869,-13.524886877828052
111,John C Coonley Elementary School,ES,2.4683081553957216,-1.1042657343678075,87.0,95.9,1.4,39.0,56.0,65.0,25.940816760184838,High,Low,High-Low,97.45568108753558,39.0,35.46606334841629,1.3040723981900442,-17.88190045248869,-12.524886877828052
112,John C Dore Elementary School,ES,2.560330420389153,0.2303420622315455,74.0,95.6,10.8,79.0,51.0,57.0,19.666100086881244,High,Mid,High-Mid,87.59988977679801,79.0,22.46606334841629,1.0040723981900328,-8.481900452488688,27.475113122171948
113,John Charles Haines Elementary School,ES,1.1275757500804395,-1.219785212281732,32.0,98.4,0.3,37.0,48.0,42.0,50.919108345592235,High,Low,High-Low,93.64379535225498,37.0,-19.53393665158371,3.804072398190044,-18.981900452488688,-14.524886877828052
114,John D Shoop Math-Science Technical Academy Elementary School,ES,-1.4482952888457166,0.7903830098942088,32.0,93.2,40.8,51.0,42.0,53.0,15.854505874129247,Low,High,Low-High,55.965830807384954,51.0,-19.53393665158371,-1.3959276018099587,21.51809954751131,-0.5248868778280524
115,John F Eberhart Elementary School,ES,-1.6305996700632912,-1.2284582687561716,42.0,95.3,13.1,34.0,32.0,42.0,13.406806556177623,Low,Low,Low-Low,82.5204372187012,34.0,-9.533936651583709,0.7040723981900356,-6.181900452488689,-17.524886877828052
116,John Fiske Elementary School,ES,-2.9685450507278497,-0.0137006007507705,13.0,92.9,37.1,55.0,35.0,40.0,26.81536236632701,Low,Mid,Low-Mid,57.59162303664921,55.0,-38.53393665158371,-1.6959276018099558,17.818099547511313,3.4751131221719476
117,John Foster Dulles Elementary School,ES,-1.7631854462989227,-0.5180862395274197,42.0,94.1,28.2,42.0,21.0,32.0,23.62729261484642,Low,Low,Low-Low,68.54046110039496,42.0,-9.533936651583709,-0.4959276018099672,8.91809954751131,-9.524886877828052
118,John Harvard Elementary School of Excellence,ES,-0.5342024235103672,0.1246510994111575,51.0,93.0,8.7,61.0,36.0,43.0,18.173897847853823,Mid,Mid,Mid-Mid,87.17736750252595,61.0,-0.5339366515837085,-1.5959276018099615,-10.58190045248869,9.475113122171948
119,John H Hamline Elementary School,ES,-1.4268811267609685,-1.1435308242570503,33.0,94.4,7.5,43.0,33.0,17.0,24.396556133526555,Low,Low,Low-Low,86.75484522825387,43.0,-18.53393665158371,-0.19592760180995583,-11.781900452488689,-8.524886877828052
120,John J Audubon Elementary School,ES,3.312023954909983,-0.2762401315114859,95.0,96.2,4.5,60.0,65.0,60.0,17.86035777304613,High,Mid,High-Mid,95.37062551667125,60.0,43.46606334841629,1.6040723981900413,-14.781900452488689,8.475113122171948
121,John L Marsh Elementary School,ES,0.1394683420044969,-0.8609562874534809,72.0,95.7,5.4,39.0,48.0,55.0,11.29276013486122,Mid,Low,Mid-Low,92.38541379627078,39.0,20.46606334841629,1.1040723981900413,-13.881900452488688,-12.524886877828052
122,John Milton Gregory Elementary School,ES,1.149449343215951,0.9729220729236068,44.0,95.2,3.2,43.0,59.0,66.0,10.274384813243854,High,High,High-High,91.78837145219067,43.0,-7.5339366515837085,0.6040723981900413,-16.08190045248869,-8.524886877828052
123,John P Altgeld Elementary School,ES,-0.7844188376060263,-0.384287856875408,48.0,91.9,32.9,58.0,35.0,27.0,34.191043965298306,Mid,Mid,Mid-Mid,64.57242582897032,58.0,-3.5339366515837085,-2.695927601809956,13.61809954751131,6.475113122171948
124,John Spry Elementary Community School,ES,1.0381035819186704,0.2524171294170169,66.0,96.2,5.9,67.0,43.0,52.0,5.617608092613941,High,Mid,High-Mid,91.42096077891063,67.0,14.466063348416291,1.6040723981900413,-13.381900452488688,15.475113122171948
125,John T McCutcheon Elementary School,ES,-0.6010348144103023,-0.6878403658190951,56.0,94.0,8.8,41.0,42.0,32.0,15.7537728421548,Mid,Low,Mid-Low,87.63663084412602,41.0,4.4660633484162915,-0.5959276018099615,-10.481900452488688,-10.524886877828052
126,John T Pirie Fine Arts & Academic Center Elementary School,ES,-0.5843923877747647,0.4674128580465155,26.0,93.5,20.8,62.0,46.0,43.0,17.274670523568084,Mid,Mid,Mid-Mid,73.8128042619638,62.0,-25.53393665158371,-1.0959276018099615,1.5180995475113122,10.475113122171948
127,John W Garvy Elementary School,ES,1.226676931820164,-0.6621317634090647,60.0,95.3,10.2,51.0,55.0,51.0,0.0,High,Low,High-Low,86.8375126297419,51.0,8.466063348416291,0.7040723981900356,-9.08190045248869,-0.5248868778280524
128,John Whistler Elementary School,ES,-2.561248079887404,-1.503851937504886,45.0,92.4,11.1,28.0,21.0,20.0,38.44618532819863,Low,Low,Low-Low,84.3666758519335,28.0,-6.5339366515837085,-2.195927601809956,-8.181900452488689,-23.524886877828052
129,Jonathan Burr Elementary School,ES,1.533194463234966,-0.1602494913010671,71.0,95.9,4.3,51.0,63.0,53.0,9.287998270279168,High,Mid,High-Mid,93.32231101313494,51.0,19.46606334841629,1.3040723981900442,-14.981900452488688,-0.5248868778280524
130,Jordan Elementary Community School,ES,-1.320591692608142,-2.2072208839420933,61.0,95.6,16.4,49.0,15.0,17.0,33.35602796327415,Low,Low,Low-Low,81.262055662717,49.0,9.466063348416291,1.0040723981900328,-2.88190045248869,-2.5248868778280524
131,Jose De Diego Elementary Community Academy,ES,-0.3412381781112226,0.4648455843417658,57.0,95.0,29.0,40.0,64.0,60.0,22.575827424713307,Mid,Mid,Mid-Mid,69.26609718012308,40.0,5.4660633484162915,0.4040723981900385,9.718099547511311,-11.524886877828052
132,Joseph Brennemann Elementary School,ES,0.515856539522473,0.1176797634795374,50.0,96.5,13.7,59.0,54.0,41.0,12.250159289900747,Mid,Mid,Mid-Mid,82.81436575732525,59.0,-1.5339366515837085,1.9040723981900385,-5.581900452488689,7.475113122171948
133,Joseph E Gary Elementary School,ES,-1.7494960566445377,-1.5445051690266889,32.0,96.1,16.8,28.0,17.0,29.0,26.665653603286664,Low,Low,Low-Low,78.27684394231652,28.0,-19.53393665158371,1.5040723981900328,-2.481900452488688,-23.524886877828052
134,Josephine C Locke Elementary School,ES,0.7630849484712062,-0.2709520578188304,57.0,95.5,2.2,56.0,45.0,44.0,6.333594367432431,High,Mid,High-Mid,93.92853862404704,56.0,5.4660633484162915,0.9040723981900385,-17.08190045248869,4.475113122171948
135,Joseph Jungman Elementary School,ES,-1.1245818795303038,-1.0578135292622368,36.0,96.4,5.3,53.0,43.0,20.0,24.694359598760343,Low,Low,Low-Low,89.23486727289426,53.0,-15.533936651583709,1.8040723981900442,-13.981900452488688,1.4751131221719476
136,Joseph Kellman Corporate Community Elementary School,ES,-0.4555417936704111,-0.7526273619595779,58.0,95.2,4.4,45.0,50.0,37.0,5.953519173030906,Mid,Low,Mid-Low,91.9720767888307,45.0,6.4660633484162915,0.6040723981900413,-14.881900452488688,-6.524886877828052
137,Joshua D Kershaw Elementary School,ES,1.094993709752239,0.6083882220806767,62.0,94.8,8.2,56.0,59.0,50.0,5.307861128703719,High,High,High-High,88.81234499862222,56.0,10.466063348416291,0.20407239819003564,-11.08190045248869,4.475113122171948
138,Josiah Pickard Elementary School,ES,-0.4861253193089463,-0.9122645258971545,50.0,95.8,5.1,37.0,34.0,32.0,7.6035169992875895,Mid,Low,Mid-Low,90.6493983650225,37.0,-1.5339366515837085,1.2040723981900356,-14.181900452488689,-14.524886877828052
139,Julia Ward Howe Elementary School of Excellence,ES,1.128598816897769,0.6550802980897726,67.0,96.0,7.7,69.0,67.0,59.0,8.976074826578024,High,High,High-High,89.84109488380638,69.0,15.466063348416291,1.4040723981900385,-11.58190045248869,17.475113122171948
140,Langston Hughes Elementary School,ES,-2.3139779846584285,1.30355210385734,28.0,90.0,27.5,30.0,48.0,62.0,46.00586410087924,Low,High,Low-High,67.5208964820428,30.0,-23.53393665158371,-4.5959276018099615,8.218099547511311,-21.524886877828052
141,LaSalle Elementary Language Academy,ES,2.8544298216642896,-2.547131753886424,99.0,96.8,7.0,52.0,43.0,39.0,37.118752002115414,High,Low,High-Low,93.49683108294296,52.0,47.46606334841629,2.2040723981900356,-12.281900452488689,0.47511312217194757
142,LaSalle II Magnet Elementary School,ES,2.921620437541937,1.3996085356932182,66.0,95.1,5.6,52.0,79.0,83.0,14.275583483816446,High,High,High-High,91.59548084871865,52.0,14.466063348416291,0.5040723981900328,-13.681900452488689,0.47511312217194757
143,Laughlin Falconer Elementary School,ES,-0.4762837028750828,-1.6761470724975716,54.0,96.1,5.7,27.0,30.0,22.0,19.67552434564796,Mid,Low,Mid-Low,90.49324882887848,27.0,2.4660633484162915,1.5040723981900328,-13.58190045248869,-24.524886877828052
144,Lenart Elementary Regional Gifted Center,ES,5.417798894344681,-2.2917000136477617,79.0,97.4,0.3,67.0,63.0,50.0,22.675677127288292,High,Low,High-Low,97.86901809497566,67.0,27.46606334841629,2.804072398190044,-18.981900452488688,15.475113122171948
145,Leslie Lewis Elementary School,ES,-2.347422328494386,0.6002225462960576,21.0,91.8,37.7,64.0,48.0,30.0,36.39602593254595,Low,High,Low-High,57.674290438137234,64.0,-30.53393665158371,-2.7959276018099644,18.418099547511314,12.475113122171948
146,Little Village Elementary School,ES,0.4708170171188192,-0.0331430029323298,45.0,96.7,3.2,66.0,43.0,45.0,15.397320491332891,Mid,Mid,Mid-Mid,92.0180031229907,66.0,-6.5339366515837085,2.1040723981900413,-16.08190045248869,14.475113122171948
147,Lorenz Brentano Math & Science Academy Elementary School,ES,-1.2343561652523574,-1.7751278681825735,57.0,94.7,9.2,46.0,32.0,30.0,12.54758211565568,Low,Low,Low-Low,87.42536970698997,46.0,5.4660633484162915,0.10407239819004133,-10.08190045248869,-5.524886877828052
148,Lyman A Budlong Elementary School,ES,-0.0730298966308076,-1.6811591880370718,59.0,95.4,3.9,38.0,41.0,44.0,5.770785347470675,Mid,Low,Mid-Low,92.5415633324148,38.0,7.4660633484162915,0.8040723981900442,-15.381900452488688,-13.524886877828052
149,Mancel Talcott Elementary School,ES,1.4688180710443166,-0.0454993602212598,63.0,95.8,3.2,71.0,55.0,53.0,6.542917937326418,High,Mid,High-Mid,93.58868375126298,71.0,11.466063348416291,1.2040723981900356,-16.08190045248869,19.475113122171948
150,Mariano Azuela Elementary School,ES,1.0798130657472345,1.714326213235278,54.0,95.5,19.7,81.0,84.0,73.0,30.752338403581852,High,High,High-High,77.57876366308442,81.0,2.4660633484162915,0.9040723981900385,0.41809954751131073,29.475113122171948
151,Mark Sheridan Elementary Math & Science Academy,ES,3.3019869107522735,-0.1942802651959178,74.0,96.8,1.3,63.0,63.0,59.0,10.241781833130133,High,Mid,High-Mid,96.43611646918343,63.0,22.46606334841629,2.2040723981900356,-17.981900452488688,11.475113122171948
152,Mark Twain Elementary School,ES,1.760922020077356,0.7287230010028992,67.0,96.3,5.3,44.0,71.0,84.0,21.93676209858867,High,High,High-High,92.07311472398274,44.0,15.466063348416291,1.7040723981900356,-13.981900452488688,-7.524886877828052
153,Martin A Ryerson Elementary School,ES,-1.0808503551564366,0.7435282989520496,40.0,95.5,95.1,43.0,37.0,41.0,77.65091347751256,Low,High,Low-High,7.035914393313128,43.0,-11.533936651583709,0.9040723981900385,75.81809954751131,-8.524886877828052
154,Marvin Camras Elementary School,ES,0.5086704442572806,1.4155832755599456,54.0,95.1,4.3,41.0,88.0,83.0,22.228672254636145,Mid,High,Mid-High,91.68733351703867,41.0,2.4660633484162915,0.5040723981900328,-14.981900452488688,-10.524886877828052
155,Mary Mapes Dodge Elementary Renaissance Academy,ES,1.3419289401334888,1.5876386889064311,57.0,94.4,12.7,73.0,83.0,77.0,26.39707263970833,High,High,High-High,84.18297051529346,73.0,5.4660633484162915,-0.19592760180995583,-6.581900452488689,21.475113122171948
156,Mary McLeod Bethune Elementary School,ES,-1.474039799432051,0.0571733988073708,53.0,93.3,25.8,39.0,46.0,31.0,25.55236856945729,Low,Mid,Low-Mid,71.68182235693948,39.0,1.4660633484162915,-1.2959276018099644,6.518099547511312,-12.524886877828052
157,Matthew Gallistel Elementary Language Academy,ES,-0.4601474825087143,-0.6875481721076613,49.0,95.1,5.9,32.0,40.0,49.0,10.469886682863377,Mid,Low,Mid-Low,89.75842748231835,32.0,-2.5339366515837085,0.5040723981900328,-13.381900452488688,-19.524886877828052
158,Michael M Byrne Elementary School,ES,-0.3855282796796156,-0.1011646225507729,63.0,94.6,51.8,38.0,57.0,59.0,44.82465646972802,Mid,Mid,Mid-Mid,48.83806374575181,38.0,11.466063348416291,0.0040723981900328,32.51809954751131,-13.524886877828052
159,Mildred I Lavizzo Elementary School,ES,-2.6861212698233783,0.5943397229609518,15.0,91.5,39.1,46.0,30.0,39.0,30.20287012115943,Low,High,Low-High,55.80968127124093,46.0,-36.53393665158371,-3.0959276018099615,19.818099547511313,-5.524886877828052
160,Minnie Mars Jamieson Elementary School,ES,1.4553087644845433,-0.6343017246855959,64.0,95.7,8.1,66.0,41.0,55.0,5.728033555265485,High,Low,High-Low,89.17057040507026,66.0,12.466063348416291,1.1040723981900413,-11.181900452488689,14.475113122171948
161,Miriam G Canter Middle School,MS,-0.6958756126775816,0.5468726954235338,57.0,91.4,3.4,37.0,62.0,61.0,58.142958074569925,Mid,High,Mid-High,92.44971066409478,37.0,7.0,-3.6857142857142833,-2.6142857142857143,-8.142857142857146
162,Morton School of Excellence,ES,0.7731901612837686,4.157232579322639,53.0,93.6,73.9,63.0,95.0,86.0,93.32491944660525,High,High,High-High,27.52824469550841,63.0,1.4660633484162915,-0.9959276018099672,54.61809954751132,11.475113122171948
163,Mount Vernon Elementary School,ES,-2.6718559045935555,-0.5485521742659245,31.0,93.3,76.6,44.0,19.0,14.0,65.16606682116765,Low,Low,Low-Low,22.999908147331677,44.0,-20.53393665158371,-1.2959276018099644,57.31809954751131,-7.524886877828052
164,Myra Bradwell Communications Arts & Sciences Elementary School,ES,-2.3244209359082957,1.8270450505962097,31.0,92.1,75.9,50.0,54.0,52.0,53.50928930579231,Low,High,Low-High,23.53265362358777,50.0,-20.53393665158371,-2.495927601809967,56.61809954751132,-1.5248868778280524
165,Nathan Hale Elementary School,ES,0.744163442056277,1.0175546631757235,55.0,94.5,9.8,56.0,65.0,75.0,19.358243865297414,High,High,High-High,86.67217782676586,56.0,3.4660633484162915,-0.09592760180996152,-9.481900452488688,4.475113122171948
166,National Teachers Elementary Academy,ES,0.6863503108818181,0.2921580296937234,67.0,94.7,9.2,60.0,46.0,59.0,7.609234641197885,High,Mid,High-Mid,88.34389639019012,60.0,15.466063348416291,0.10407239819004133,-10.08190045248869,8.475113122171948
167,Newton Bateman Elementary School,ES,-0.3219599031351007,-1.9838249680053712,55.0,96.2,0.2,47.0,34.0,25.0,13.83891863845391,Mid,Low,Mid-Low,95.6461835216313,47.0,3.4660633484162915,1.6040723981900413,-19.08190045248869,-4.524886877828052
168,Nicholson Technology Academy,ES,-0.0149620459214509,0.1894578546210333,48.0,93.4,6.0,73.0,39.0,42.0,18.818886060624806,Mid,Mid,Mid-Mid,89.41857260953431,73.0,-3.5339366515837085,-1.1959276018099558,-13.281900452488689,21.475113122171948
169,North River Elementary School,ES,0.1096474963767868,-0.5288735439027528,67.0,95.6,20.1,51.0,47.0,47.0,11.093929637590573,Mid,Low,Mid-Low,78.41462294479655,51.0,15.466063348416291,1.0040723981900328,0.8180995475113129,-0.5248868778280524
170,Norwood Park Elementary School,ES,1.841931170857964,-3.2031022567251237,99.0,95.5,0.3,68.0,32.0,31.0,43.02273525313526,High,Low,High-Low,99.5315513915679,68.0,47.46606334841629,0.9040723981900385,-18.981900452488688,16.475113122171948
171,Ole A Thorp Elementary Scholastic Academy,ES,1.687713760795582,-1.0895642786354212,70.0,96.4,25.8,40.0,57.0,47.0,26.572273411332514,High,Low,High-Low,73.52806099017177,40.0,18.46606334841629,1.8040723981900442,6.518099547511312,-11.524886877828052
172,Oliver S Westcott Elementary School,ES,-1.5349299001583177,0.933110091970943,30.0,92.6,31.5,54.0,47.0,47.0,9.635634921721856,Low,High,Low-High,64.26931202351427,54.0,-21.53393665158371,-1.9959276018099672,12.218099547511311,2.4751131221719476
173,Oscar DePriest Elementary School,ES,-0.8518939142625201,0.9856139481871956,35.0,92.7,20.0,53.0,39.0,51.0,11.939899069945874,Mid,High,Mid-High,75.30081748874805,53.0,-16.53393665158371,-1.8959276018099587,0.7180995475113114,1.4751131221719476
174,Park Manor Elementary School,ES,-0.085379017680391,2.146050946625894,28.0,94.9,16.6,48.0,67.0,69.0,22.223595628395916,Mid,High,Mid-High,77.98291540369247,48.0,-23.53393665158371,0.30407239819004417,-2.681900452488687,-3.5248868778280524
175,Patrick Henry Elementary School,ES,0.098570264104683,0.5731381564309425,45.0,95.1,4.3,43.0,45.0,68.0,12.51341503119554,Mid,High,Mid-High,90.86065950215854,43.0,-6.5339366515837085,0.5040723981900328,-14.981900452488688,-8.524886877828052
176,Paul Cuffe Math-Science Technology Academy Elementary School,ES,-0.1192431677159552,1.5938273309651632,51.0,93.6,46.9,54.0,83.0,66.0,50.329781354213075,Mid,High,Mid-High,52.144759805272344,54.0,-0.5339366515837085,-0.9959276018099672,27.61809954751131,2.4751131221719476
177,Perkins Bass Elementary School,ES,-1.6171328159370746,1.007157369686835,28.0,92.1,28.9,57.0,42.0,52.0,12.548932297968394,Low,High,Low-High,66.42784972903463,57.0,-23.53393665158371,-2.495927601809967,9.61809954751131,5.475113122171948
178,Pershing West Middle School,MS,0.6839452360661992,0.3520233067401979,46.0,96.2,3.7,55.0,58.0,76.0,22.619529585722333,High,Mid,High-Mid,91.60466611555064,55.0,-4.0,1.1142857142857139,-2.314285714285714,9.857142857142854
179,Peter A Reinberg Elementary School,ES,0.3819767181739745,-0.2503555054831681,60.0,95.8,8.2,30.0,54.0,60.0,15.686456026365198,Mid,Mid,Mid-Mid,88.7204923303022,30.0,8.466063348416291,1.2040723981900356,-11.08190045248869,-21.524886877828052
180,Philip Rogers Elementary School,ES,2.727383115468184,0.3689830348566744,81.0,96.4,3.0,62.0,64.0,75.0,15.098134978191347,High,Mid,High-Mid,95.48084871865528,62.0,29.46606334841629,1.8040723981900442,-16.28190045248869,10.475113122171948
181,Pilsen Elementary Community Academy,ES,-0.7903138580316857,-1.7124786072095,43.0,96.0,9.4,55.0,37.0,16.0,23.317698167396816,Mid,Low,Mid-Low,86.07513548268577,55.0,-8.533936651583709,1.4040723981900385,-9.881900452488688,3.4751131221719476
182,Pulaski International Academy Elmentary School,ES,0.5240570929034423,-1.8620217861797328,68.0,96.1,1.7,57.0,23.0,26.0,33.33011794184165,Mid,Low,Mid-Low,95.45329291815928,57.0,16.46606334841629,1.5040723981900328,-17.58190045248869,5.475113122171948
183,Rachel Carson Elementary School,ES,-0.2969727323653658,-1.5167841613061903,38.0,97.6,3.9,56.0,36.0,26.0,29.585200861217693,Mid,Low,Mid-Low,90.81473316799853,56.0,-13.533936651583709,3.004072398190033,-15.381900452488688,4.475113122171948
184,Richard Edwards Elementary School,ES,-0.4590084133278007,-0.428204600746798,48.0,95.3,10.3,41.0,49.0,49.0,5.394662889794456,Mid,Mid,Mid-Mid,85.6434279415817,41.0,-3.5339366515837085,0.7040723981900356,-8.981900452488688,-10.524886877828052
185,Richard J Daley Elementary Academy,ES,-1.2200626145169835,0.7311513601155721,29.0,94.9,44.2,46.0,42.0,50.0,24.852223678980437,Low,High,Low-High,52.72343161568843,46.0,-22.53393665158371,0.30407239819004417,24.918099547511314,-5.524886877828052
186,Richard J Oglesby Elementary School,ES,-1.2336816916775764,-0.0272542627965653,44.0,94.4,25.4,49.0,32.0,43.0,17.046203289991833,Low,Mid,Low-Mid,71.3235969504914,49.0,-7.5339366515837085,-0.19592760180995583,6.11809954751131,-2.5248868778280524
187,Robert Fulton Elementary School,ES,-0.6342073562892996,0.266826358473483,46.0,95.1,10.1,63.0,39.0,53.0,10.84552321141376,Mid,Mid,Mid-Mid,85.62505740791771,63.0,-5.5339366515837085,0.5040723981900328,-9.181900452488689,11.475113122171948
188,Robert H Lawrence Elementary School,ES,-3.1860271571571332,-0.3688971048238179,19.0,90.7,14.0,51.0,30.0,35.0,37.72376151176203,Low,Mid,Low-Mid,79.15862955818866,51.0,-32.53393665158371,-3.8959276018099587,-5.281900452488689,-0.5248868778280524
189,Robert L Grimes Elementary School,ES,1.733911411521622,0.7108757930230722,79.0,95.2,5.0,59.0,71.0,72.0,14.445047441782927,High,High,High-High,93.34986681363094,59.0,27.46606334841629,0.6040723981900413,-14.281900452488689,7.475113122171948
190,Ronald Brown Elementary Community Academy,ES,-1.1834378726565358,0.557327897045883,31.0,93.8,35.6,33.0,45.0,48.0,22.396864567187798,Low,High,Low-High,60.70542849269772,33.0,-20.53393665158371,-0.7959276018099644,16.318099547511313,-18.524886877828052
191,Ronald E McNair Elementary School,ES,-3.338563965177541,-0.5046949926194205,31.0,90.7,52.8,59.0,20.0,32.0,47.2847428312431,Low,Low,Low-Low,44.62202626986314,59.0,-20.53393665158371,-3.8959276018099587,33.51809954751131,7.475113122171948
192,Rosario Castellanos Elementary School,ES,-2.331235697754787,-1.8282892749538144,36.0,96.3,24.3,20.0,31.0,17.0,38.61592541706958,Low,Low,Low-Low,71.7736750252595,20.0,-15.533936651583709,1.7040723981900356,5.018099547511312,-31.524886877828052
193,Roswell B Mason Elementary School,ES,-2.2033626719183164,-0.0364332075826302,37.0,92.4,31.0,58.0,36.0,50.0,15.2704541382979,Low,Mid,Low-Mid,65.35317350969045,58.0,-14.533936651583709,-2.195927601809956,11.718099547511311,6.475113122171948
194,Rufus M Hitch Elementary School,ES,1.5473954409758146,0.3807824599568395,64.0,95.1,3.7,58.0,70.0,65.0,9.482522401321573,High,Mid,High-Mid,93.1569762101589,58.0,12.466063348416291,0.5040723981900328,-15.58190045248869,6.475113122171948
195,Salmon P Chase Elementary School,ES,-1.1287793812656866,-1.7308660453469324,55.0,95.4,18.5,39.0,27.0,25.0,16.77554140645735,Low,Low,Low-Low,78.7636630844126,39.0,3.4660633484162915,0.8040723981900442,-0.7819004524886886,-12.524886877828052
196,Samuel Gompers Fine Arts Options Elementary School,ES,-1.2632752683943858,1.367824772580721,34.0,93.6,54.2,52.0,59.0,57.0,34.281556827651826,Low,High,Low-High,43.878019656471025,52.0,-17.53393665158371,-0.9959276018099672,34.91809954751132,0.47511312217194757
197,Scott Joplin Elementary School,ES,-1.185707198992282,0.1390869984462474,35.0,95.0,44.5,53.0,34.0,45.0,31.018612749213613,Low,Mid,Low-Mid,53.008174887480486,53.0,-16.53393665158371,0.4040723981900385,25.21809954751131,1.4751131221719476
198,Sidney Sawyer Elementary School,ES,-0.5021753890731041,-1.9815959978930324,57.0,96.8,7.4,39.0,29.0,24.0,17.458678208002524,Mid,Low,Mid-Low,89.27160834022229,39.0,5.4660633484162915,2.2040723981900356,-11.881900452488688,-12.524886877828052
199,South Loop Elementary School,ES,2.6749930696174062,-1.239769374977029,84.0,95.3,12.7,36.0,46.0,57.0,22.893369353160615,High,Low,High-Low,86.74565996142188,36.0,32.46606334841629,0.7040723981900356,-6.581900452488689,-15.524886877828052
200,Spencer Technology Academy,ES,-0.1017258152115939,1.943366508915853,35.0,92.5,24.1,71.0,56.0,66.0,34.59107898987437,Mid,High,Mid-High,71.51648755396344,71.0,-16.53393665158371,-2.0959276018099615,4.818099547511313,19.475113122171948
201,Stephen Decatur Classical Elementary School,ES,7.354102145713401,-0.0795137485218404,99.0,96.2,2.8,99.0,99.0,99.0,72.62422907864605,High,Mid,High-Mid,97.29953155139157,99.0,47.46606334841629,1.6040723981900413,-16.481900452488688,47.47511312217195
202,Stephen F Gale Elementary Community Academy,ES,-2.6481603334401034,-0.5811589639445548,39.0,92.1,34.8,27.0,29.0,33.0,24.51758240640192,Low,Low,Low-Low,62.01892164967392,27.0,-12.533936651583709,-2.495927601809967,15.518099547511309,-24.524886877828052
203,Stephen K Hayt Elementary School,ES,0.5867254442745019,0.2063604815789197,72.0,95.6,55.6,44.0,66.0,48.0,55.747437422184596,Mid,Mid,Mid-Mid,46.2661890327914,44.0,20.46606334841629,1.0040723981900328,36.31809954751131,-7.524886877828052
204,Talman Elementary School,ES,3.5434979030980154,1.7352883822247007,99.0,96.2,9.2,99.0,81.0,85.0,59.85450298853714,High,High,High-High,91.42096077891063,99.0,47.46606334841629,1.6040723981900413,-10.08190045248869,47.47511312217195
205,Telpochcalli Elementary School,ES,-0.0037647317824096,1.4079836655846536,42.0,95.4,2.7,22.0,69.0,82.0,42.41041739844382,Mid,High,Mid-High,92.08229999081473,22.0,-9.533936651583709,0.8040723981900442,-16.58190045248869,-29.524886877828052
206,Thomas Chalmers Specialty Elementary School,ES,0.0379642335372973,2.3368296172791885,34.0,94.4,3.4,45.0,78.0,88.0,32.53417657371047,Mid,High,Mid-High,90.6126572976945,45.0,-17.53393665158371,-0.19592760180995583,-15.881900452488688,-6.524886877828052
207,Thomas Hoyne Elementary School,ES,1.524517474052688,0.927157745698294,67.0,94.8,0.0,73.0,66.0,67.0,15.424273548874373,High,High,High-High,96.8035271424635,73.0,15.466063348416291,0.20407239819003564,-19.28190045248869,21.475113122171948
208,Turner-Drew Elementary Language Academy,ES,1.2529785808950271,0.9959435546868424,56.0,95.8,24.0,51.0,66.0,75.0,22.748948283382102,High,High,High-High,73.84036006245982,51.0,4.4660633484162915,1.2040723981900356,4.718099547511311,-0.5248868778280524
209,Uplift Community High School,HS,-1.02948397570161,1.0651806751755537,50.0,88.7,8.1,62.0,53.0,48.0,72.71372247169397,Low,High,Low-High,87.24166437034995,62.0,-22.5,-2.950000000000003,3.45,-2.5
210,Victor Herbert Elementary School,ES,0.2431537139902812,0.6055101185087299,50.0,92.8,10.3,72.0,50.0,48.0,22.44621393856408,Mid,High,Mid-High,85.5975016074217,72.0,-1.5339366515837085,-1.7959276018099644,-8.981900452488688,20.475113122171948
