school,level,lat,lon,attendance,safety,misconduct,cluster,outlier_score,behavior_score,academic_score
John Spry Elementary Community School,ES,41.84815451,-87.69912725,96.2,66.0,5.9,,,,
John T McCutcheon Elementary School,ES,41.97095968,-87.65472193,94.0,56.0,8.8,,,,
John T Pirie Fine Arts & Academic Center Elementary School,ES,41.74036711,-87.60792289,93.5,26.0,20.8,,,,
John W Cook Elementary School,ES,41.74526284,-87.6598119,94.0,,26.0,,,,
John W Garvy Elementary School,ES,41.97635262,-87.79619832,95.3,60.0,10.2,,,,
John Whistler Elementary School,ES,41.68391137,-87.65534733,92.4,45.0,11.1,,,,
Jonathan Burr Elementary School,ES,41.91233061,-87.66864691,95.9,71.0,4.3,,,,
Jonathan Y Scammon Elementary School,ES,41.94164944,-87.73222901,95.9,44.0,8.0,,,,
Jordan Elementary Community School,ES,42.01709536,-87.67779928,95.6,61.0,16.4,,,,
Jose De Diego Elementary Community Academy,ES,41.90531549,-87.68572005,95.0,57.0,29.0,,,,
Josefa Ortiz De Dominguez Elementary School,ES,41.83875333,-87.71722614,95.8,,3.6,,,,
Joseph Brennemann Elementary School,ES,41.95997841,-87.64971223,96.5,50.0,13.7,,,,
Joseph E Gary Elementary School,ES,41.83709246,-87.71870452,96.1,32.0,16.8,,,,
Josephine C Locke Elementary School,ES,41.93176301,-87.79564085,95.5,57.0,2.2,,,,
Joseph Jungman Elementary School,ES,41.85810053,-87.65233933,96.4,36.0,5.3,,,,
Joseph Kellman Corporate Community Elementary School,ES,41.87119309,-87.70078311,95.2,58.0,4.4,,,,
Joseph Lovett Elementary School,ES,41.91269042,-87.78393402,95.4,43.0,16.1,,,,
Joseph Stockton Elementary School,ES,41.9623189,-87.66388983,94.9,37.0,11.0,,,,
Joseph Warren Elementary School,ES,41.72677474,-87.5753162,95.0,33.0,21.6,,,,
Joshua D Kershaw Elementary School,ES,41.77647883,-87.64092929,94.8,62.0,8.2,,,,
Josiah Pickard Elementary School,ES,41.85287295,-87.6833397,95.8,50.0,5.1,,,,
Joyce Kilmer Elementary School,ES,42.00367622,-87.66826026,96.0,,15.6,,,,
Julia C Lathrop Elementary School,ES,41.86119482,-87.7093241,90.5,67.0,113.5,,,,
Julia Ward Howe Elementary School of Excellence,ES,41.89362521,-87.75943557,96.0,67.0,7.7,,,,
Kate S Buckingham Special Education Center,ES,41.72782129,-87.56439326,83.4,31.0,116.9,,,,
Kate S Kellogg Elementary School,ES,41.72525315,-87.67719555,96.3,76.0,12.0,,,,
Kelvyn Park High School,HS,41.92789092,-87.73600171,74.4,32.0,12.9,,,,
Kenwood Academy High School,HS,41.80375479,-87.59038395,88.4,63.0,5.9,,,,
Lake View High School,HS,41.95478361,-87.66891643,87.7,64.0,8.5,,,,
Langston Hughes Elementary School,ES,41.70536999,-87.62985093,90.0,28.0,27.5,,,,
LaSalle Elementary Language Academy,ES,41.9138823,-87.63760107,96.8,99.0,7.0,,,,
LaSalle II Magnet Elementary School,ES,41.90290876,-87.67373263,95.1,66.0,5.6,,,,
Laughlin Falconer Elementary School,ES,41.93577597,-87.74936705,96.1,54.0,5.7,,,,
Laura S Ward Elementary School,ES,41.88845002,-87.71752405,92.9,,3.9,,,,
Lawndale Elementary Community Academy,ES,41.86298683,-87.71300615,91.0,,18.8,,,,
Lazaro Cardenas Elementary School,ES,41.8485071,-87.71598119,96.3,,3.2,,,,
Leif Ericson Elementary Scholastic Academy,ES,41.87576191,-87.71584573,94.7,33.0,20.8,,,,
Lenart Elementary Regional Gifted Center,ES,41.74715024,-87.62800231,97.4,79.0,0.3,,,,
Leslie Lewis Elementary School,ES,41.90682528,-87.75451319,91.8,21.0,37.7,,,,
Lincoln Park High School,HS,41.91830362,-87.64597389,84.6,65.0,9.2,,,,
Lionel Hampton Fine & Performing Arts Elementary School,ES,41.75348432,-87.70875287,95.0,42.0,94.9,,,,
Little Village Elementary School,ES,41.84368588,-87.71735516,96.7,45.0,3.2,,,,
Logandale Middle School,MS,41.9339976,-87.70804359,95.1,56.0,5.1,,,,
Lorenz Brentano Math & Science Academy Elementary School,ES,41.93097047,-87.69625758,94.7,57.0,9.2,,,,
Louis A Agassiz Elementary School,ES,41.93412004,-87.65619167,95.2,53.0,32.6,,,,
Louisa May Alcott Elementary School,ES,41.92984626,-87.64633949,96.6,,3.7,,,,
Louis Armstrong Math & Science Elementary School,ES,41.87378243,-87.75920297,92.6,42.0,83.4,,,,
Louis Nettelhorst Elementary School,ES,41.94162999,-87.64459776,95.5,58.0,5.3,,,,
Louis Pasteur Elementary School,ES,41.78688968,-87.73262962,95.0,50.0,5.0,,,,
Ludwig Van Beethoven Elementary School,ES,41.80910779,-87.62711401,93.7,40.0,11.4,,,,
Luke O'Toole Elementary School,ES,41.77418952,-87.67513395,89.2,5.0,26.7,,,,
Luther Burbank Elementary School,ES,41.91759334,-87.78266267,95.2,37.0,9.8,,,,
Lyman A Budlong Elementary School,ES,41.97572652,-87.69660443,95.4,59.0,3.9,,,,
Lyman Trumbull Elementary School,ES,41.97621644,-87.6697616,94.3,56.0,17.8,,,,
Mahalia Jackson Elementary School,ES,41.73409818,-87.64675679,92.5,38.0,35.7,,,,
Mancel Talcott Elementary School,ES,41.89243235,-87.67370499,95.8,63.0,3.2,,,,
Manley Career Academy High School,HS,41.87091163,-87.69988652,66.8,41.0,19.7,,,,
Manuel Perez Elementary School,ES,41.85600113,-87.6579887,95.9,45.0,7.3,,,,
Marcus Moziah Garvey Elementary School,ES,41.7065956,-87.64754034,94.0,50.0,20.5,,,,
Mariano Azuela Elementary School,ES,41.77105158,-87.73992325,95.5,54.0,19.7,,,,
Maria Saucedo Elementary Scholastic Academy,ES,41.84796859,-87.69728712,96.8,60.0,19.4,,,,
Marie Sklodowska Curie Metropolitan High School,HS,41.80304615,-87.72200673,85.0,43.0,9.1,,,,
Marine Military Math and Science Academy ,HS,41.87885054,-87.68865058,91.3,41.0,4.5,,,,
Mark Sheridan Elementary Math & Science Academy,ES,41.84437293,-87.64131399,96.8,74.0,1.3,,,,
Mark Skinner Elementary School,ES,41.87913069,-87.65937102,97.1,87.0,0.0,,,,
Mark Twain Elementary School,ES,41.79905206,-87.75896524,96.3,67.0,5.3,,,,
Marquette Elementary School,ES,41.77390682,-87.6970673,93.1,15.0,64.6,,,,
Martha Ruggles Elementary School,ES,41.75194729,-87.61802983,93.9,43.0,30.9,,,,
Martin A Ryerson Elementary School,ES,41.89321142,-87.71883334,95.5,40.0,95.1,,,,
Marvin Camras Elementary School,ES,41.93496641,-87.77016525,95.1,54.0,4.3,,,,
Mary E Courtenay Elementary Language Arts Center,ES,41.9580169,-87.6718933,94.9,99.0,10.8,,,,
Mary E McDowell Elementary School,ES,41.7331047,-87.58960096,95.5,,3.1,,,,
Mary Gage Peterson Elementary School,ES,41.98158041,-87.71261988,95.5,62.0,10.3,,,,
Mary Lyon Elementary School,ES,41.93417898,-87.77713699,95.9,55.0,3.7,,,,
Mary Mapes Dodge Elementary Renaissance Academy,ES,41.88282068,-87.6930162,94.4,57.0,12.7,,,,
Mary McLeod Bethune Elementary School,ES,41.87019518,-87.70216173,93.3,53.0,25.8,,,,
Mason High School,HS,41.85685194,-87.73049117,90.4,50.0,44.3,,,,
Matthew A Henson Elementary School,ES,41.86356038,-87.72158636,90.9,37.0,13.2,,,,
Matthew Gallistel Elementary Language Academy,ES,41.70682232,-87.53513861,95.1,49.0,5.9,,,,
Medgar Evers Elementary School,ES,41.7156643,-87.63926881,94.9,27.0,18.1,,,,
Melville W Fuller Elementary School,ES,41.8180061,-87.61182077,91.8,22.0,40.2,,,,
Michael Faraday Elementary School,ES,41.87974117,-87.70808199,93.3,35.0,39.4,,,,
Michael M Byrne Elementary School,ES,41.79503029,-87.79150778,94.6,63.0,51.8,,,,
Michele Clark Academic Prep Magnet High School,HS,41.87285714,-87.75335467,79.1,,24.4,,,,
Mildred I Lavizzo Elementary School,ES,41.69628998,-87.62713349,91.5,15.0,39.1,,,,
Milton Brunson Math & Science Specialty Elementary School ,ES,41.89767761,-87.76564297,91.3,30.0,16.6,,,,
Minnie Mars Jamieson Elementary School,ES,41.98461372,-87.70056525,95.7,64.0,8.1,,,,
Miriam G Canter Middle School,MS,41.80434474,-87.59039494,91.4,57.0,3.4,,,,
Morgan Park High School,HS,41.69206041,-87.66564309,84.2,40.0,11.1,,,,
Morton School of Excellence,ES,41.88928666,-87.7049885,93.6,53.0,73.9,,,,
Moses Montefiore Special Elementary School,ES,41.86471954,-87.66648084,80.4,28.0,251.6,,,,
Mount Greenwood Elementary School,ES,41.69574845,-87.70577383,96.0,84.0,2.9,,,,
Mount Vernon Elementary School,ES,41.70196704,-87.64768959,93.3,31.0,76.6,,,,
Multicultural Academy of Scholarship,HS,41.83601953,-87.73419465,89.2,48.0,22.4,,,,
Myra Bradwell Communications Arts & Sciences Elementary School,ES,41.7543734,-87.55717881,92.1,31.0,75.9,,,,
Nathanael Greene Elementary School,ES,41.82966356,-87.67145551,95.5,,3.8,,,,
Nathan Hale Elementary School,ES,41.78020486,-87.77661589,94.5,55.0,9.8,,,,
Nathaniel Pope Elementary School,ES,41.85570712,-87.70299144,91.6,48.0,54.2,,,,
Nathan R Goldblatt Elementary School,ES,41.87778081,-87.73273021,92.9,49.0,57.7,,,,
Nathan S Davis Elementary School,ES,41.8218786,-87.70022859,95.1,43.0,2.4,,,,
National Teachers Elementary Academy,ES,41.85277255,-87.62928114,94.7,67.0,9.2,,,,
Neal F Simeon Career Academy High School,HS,41.74579217,-87.63537,78.6,52.0,2.1,,,,
Near North Elementary School,ES,41.89551132,-87.66123981,80.2,50.0,58.3,,,,
New Field Elementary School,ES,42.00767533,-87.67315753,96.2,,3.1,,,,
New Millennium High School of Health at Bowen,HS,41.73376107,-87.55775263,75.6,17.0,61.8,,,,
Newton Bateman Elementary School,ES,41.95823045,-87.70218806,96.2,55.0,0.2,,,,
Nicholas Senn High School,HS,41.98905063,-87.66526222,81.7,48.0,41.3,,,,
Nicholson Technology Academy,ES,41.7849277,-87.64748868,93.4,48.0,6.0,,,,
Ninos Heroes Elementary Academic Center,ES,41.74374969,-87.55189813,93.9,36.0,25.9,,,,
Norman A Bridge Elementary School,ES,41.94915063,-87.79870722,95.6,67.0,6.6,,,,
North-Grand High School,HS,41.91170094,-87.73525151,88.6,42.0,15.3,,,,
North River Elementary School,ES,41.96173669,-87.70718808,95.6,67.0,20.1,,,,
Northside College Preparatory High School,HS,41.98135196,-87.70867192,95.7,99.0,2.8,,,,
Northside Learning Center High School,HS,41.98299994,-87.72238881,89.8,99.0,5.3,,,,
Northwest Middle School,MS,41.92053845,-87.75820003,93.4,34.0,2.2,,,,
Norwood Park Elementary School,ES,41.98818136,-87.80299207,95.5,99.0,0.3,,,,
Ogden International High School,HS,41.8935757,-87.65936676,94.2,56.0,13.7,,,,
Ole A Thorp Elementary Scholastic Academy,ES,41.94859865,-87.77764028,96.4,70.0,25.8,,,,
Oliver S Westcott Elementary School,ES,41.74884018,-87.63478949,92.6,30.0,31.5,,,,
Oliver Wendell Holmes Elementary School,ES,41.79376044,-87.64977785,87.0,21.0,139.8,,,,
Oriole Park Elementary School,ES,41.97851501,-87.81209057,96.5,99.0,2.3,,,,
Orozco Fine Arts & Sciences Elementary School,ES,41.85778248,-87.67519253,97.6,55.0,1.4,,,,
Orr Academy High School,HS,41.89444828,-87.72620305,66.3,,10.2,,,,
Orville T Bright Elementary School,ES,41.69973969,-87.56212104,92.2,18.0,55.7,,,,
Oscar DePriest Elementary School,ES,41.87799914,-87.7662615,92.7,35.0,20.0,,,,
Oscar F Mayer Elementary School,ES,41.92317657,-87.65732331,95.0,67.0,11.4,,,,
Pablo Casals Elementary School,ES,41.90447488,-87.71427105,92.0,,47.1,,,,
Park Manor Elementary School,ES,41.76648584,-87.61150917,94.9,28.0,16.6,,,,
Parkside Elementary Community Academy,ES,41.76856599,-87.58299131,89.8,,90.7,,,,
Patrick Henry Elementary School,ES,41.95896179,-87.71566829,95.1,45.0,4.3,,,,
Paul Cuffe Math-Science Technology Academy Elementary School,ES,41.74244489,-87.65366994,93.6,51.0,46.9,,,,
Paul Laurence Dunbar Career Academy High School,HS,41.84018775,-87.61767315,76.9,29.0,21.5,,,,
Paul Revere Elementary School,ES,41.76422335,-87.60017165,92.4,36.0,33.3,,,,
Paul Robeson High School,HS,41.76973341,-87.63711641,73.5,29.0,26.4,,,,
Percy L Julian High School,HS,41.70585971,-87.65378585,74.6,28.0,33.4,,,,
Perkins Bass Elementary School,ES,41.77427377,-87.65354234,92.1,28.0,28.9,,,,
Pershing West Middle School,MS,41.83649005,-87.61837372,96.2,46.0,3.7,,,,
Peter A Reinberg Elementary School,ES,41.94300407,-87.76894541,95.8,60.0,8.2,,,,
Peter Cooper Elementary Dual Language Academy,ES,41.85605839,-87.66724753,96.2,,5.7,,,,
Philip Rogers Elementary School,ES,42.01526618,-87.69714858,96.4,81.0,3.0,,,,
Phillip D Armour Elementary School,ES,41.8338821,-87.65061898,93.9,36.0,16.0,,,,
Phillip Murray Elementary Language Academy,ES,41.79852501,-87.59330352,95.6,66.0,3.5,,,,
Phobe Apperson Hearst Elementary School,ES,41.80818821,-87.74576315,92.1,33.0,25.5,,,,
Phoenix Military Academy High School,HS,41.87885054,-87.68865058,92.1,53.0,4.3,,,,
Pilsen Elementary Community Academy,ES,41.85887606,-87.6622254,96.0,43.0,9.4,,,,
Portage Park Elementary School,ES,41.9570151,-87.76100593,94.2,62.0,3.7,,,,
Pulaski International Academy Elmentary School,ES,41.91851374,-87.68380061,96.1,68.0,1.7,,,,
Rachel Carson Elementary School,ES,41.79325514,-87.68783576,97.6,38.0,3.9,,,,
Ralph H Metcalfe Elementary Community Academy,ES,41.6694559,-87.63426928,94.9,,22.3,,,,
Ravenswood Elementary School,ES,41.96074129,-87.67095905,94.9,46.0,8.1,,,,
Ray Graham Training Center High School,HS,41.84969736,-87.6252787,86.3,90.0,3.7,,,,
Richard Edwards Elementary School,ES,41.80552325,-87.72581893,95.3,48.0,10.3,,,,
Richard Henry Lee Elementary School,ES,41.77532831,-87.72892174,95.0,59.0,21.8,,,,
Richard J Daley Elementary Academy,ES,41.80234381,-87.67224309,94.9,29.0,44.2,,,,
Richard J Oglesby Elementary School,ES,41.75469091,-87.64550666,94.4,44.0,25.4,,,,
Richard T Crane Technical Preparatory High School,HS,41.87747384,-87.68324922,57.9,43.0,19.9,,,,
Richard Yates Elementary School,ES,41.91502858,-87.70024324,93.7,42.0,5.6,,,,
Roald Amundsen High School,HS,41.97507922,-87.67952139,81.1,51.0,8.7,,,,
Robert A Black Magnet Elementary School,ES,41.72965645,-87.57660534,96.0,68.0,0.4,,,,
Robert Emmet Elementary School,ES,41.88037642,-87.76327497,89.8,37.0,30.1,,,,
Robert Fulton Elementary School,ES,41.79754288,-87.66847093,95.1,46.0,10.1,,,,
Robert Healy Elementary School,ES,41.83957045,-87.64037683,96.6,63.0,11.3,,,,
Robert H Lawrence Elementary School,ES,41.71440176,-87.56716721,90.7,19.0,14.0,,,,
Robert L Grimes Elementary School,ES,41.77549238,-87.75876919,95.2,79.0,5.0,,,,
Robert Lindblom Math & Science Academy High School,HS,41.7820428,-87.67169858,92.7,66.0,2.1,,,,
Robert Nathaniel Dett Elementary School,ES,41.88401623,-87.68472465,94.4,48.0,6.9,,,,
Roberto Clemente Community Academy High School,HS,41.90262318,-87.68686934,69.6,44.0,20.6,,,,
Rodolfo Lozano Bilingual & International Center Elementary School,ES,41.90891372,-87.66505758,94.8,55.0,0.9,,,,
Roger C Sullivan High School,HS,42.00268694,-87.66915533,81.6,30.0,14.7,,,,
Ronald Brown Elementary Community Academy,ES,41.66484509,-87.63892027,93.8,31.0,35.6,,,,
Ronald E McNair Elementary School,ES,41.8978464,-87.74674645,90.7,31.0,52.8,,,,
Rosario Castellanos Elementary School,ES,41.84544296,-87.71496352,96.3,36.0,24.3,,,,
Roswell B Mason Elementary School,ES,41.85685194,-87.73049117,92.4,37.0,31.0,,,,
Rudyard Kipling Elementary School,ES,41.72365391,-87.63948475,94.7,52.0,23.4,,,,
Rueben Salazar Elementary Bilingual Center,ES,41.90144445,-87.63373912,95.1,64.0,44.6,,,,
Rufus M Hitch Elementary School,ES,41.98367756,-87.77908614,95.1,64.0,3.7,,,,
Salmon P Chase Elementary School,ES,41.91801539,-87.69454144,95.4,55.0,18.5,,,,
Samuel Gompers Fine Arts Options Elementary School,ES,41.67058298,-87.62258098,93.6,34.0,54.2,,,,
Sauganash Elementary School,ES,41.99117332,-87.74599137,96.3,99.0,1.5,,,,
Scott Joplin Elementary School,ES,41.74934082,-87.66932903,95.0,35.0,44.5,,,,
Sharon Christa McAuliffe Elementary School,ES,41.91480732,-87.72389409,93.9,,14.2,,,,
Sidney Sawyer Elementary School,ES,41.79752155,-87.70504311,96.8,57.0,7.4,,,,
Simon Guggenheim Elementary School,ES,41.76391032,-87.64908807,90.9,30.0,29.5,,,,
Sir Miles Davis Magnet Elementary Academy,ES,41.77122181,-87.66656657,93.0,35.0,57.8,,,,
Skinner North,ES,41.9051367,-87.64483441,96.4,,0.0,,,,
Socorro Sandoval Elementary School,ES,41.79235177,-87.71102417,95.8,,3.7,,,,
Songhai Elementary Learning Institute,ES,41.68086831,-87.62505762,89.5,17.0,84.7,,,,
South Loop Elementary School,ES,41.86685634,-87.62865124,95.3,84.0,12.7,,,,
South Shore Fine Arts Academy,ES,41.76772772,-87.59039017,93.6,,22.4,,,,
Southside Occupational Academy High School,HS,41.75986813,-87.6759838,85.5,,13.1,,,,
Spencer Technology Academy,ES,41.88488257,-87.75048169,92.5,35.0,24.1,,,,
Spry Community Links High School,HS,41.84815451,-87.69912725,95.6,70.0,9.7,,,,
Stephen Decatur Classical Elementary School,ES,42.00930696,-87.70465502,96.2,99.0,2.8,,,,
Stephen F Gale Elementary Community Academy,ES,42.02106425,-87.67196481,92.1,39.0,34.8,,,,
Stephen K Hayt Elementary School,ES,41.99456814,-87.6685227,95.6,72.0,55.6,,,,
Stephen T Mather High School,HS,41.9875954,-87.70244871,87.6,58.0,7.6,,,,
Stone Elementary Scholastic Academy,ES,41.99536777,-87.68475636,96.4,78.0,1.9,,,,
Suder Montessori Magnet Elementary School,ES,41.88324176,-87.67764871,96.6,,6.5,,,,
Talman Elementary School,ES,41.79407382,-87.6902983,96.2,99.0,9.2,,,,
Tarkington School of Excellence Elementary School,ES,41.76443483,-87.70642093,95.9,48.0,10.5,,,,
TEAM Englewood Community Academy High School,HS,41.7814927,-87.63494163,87.3,45.0,8.2,,,,
Telpochcalli Elementary School,ES,41.84797834,-87.6966316,95.4,42.0,2.7,,,,
Theodore Herzl Elementary School,ES,41.86225473,-87.71825927,90.8,41.0,23.9,,,,
Theodore Roosevelt High School,HS,41.96485522,-87.71483051,82.3,42.0,9.7,,,,
Theophilus Schmid Elementary School,ES,41.71701772,-87.59689622,92.1,46.0,67.1,,,,
Thomas A Edison Regional Gifted Center Elementary School,ES,41.9711433,-87.70962725,96.6,91.0,1.9,,,,
Thomas A Hendricks Elementary Community Academy,ES,41.81579314,-87.63370133,91.2,33.0,61.8,,,,
Thomas Chalmers Specialty Elementary School,ES,41.8664078,-87.69526079,94.4,34.0,3.4,,,,
Thomas Drummond Elementary School,ES,41.91588634,-87.67449563,95.2,72.0,0.3,,,,
Thomas Hoyne Elementary School,ES,41.73330693,-87.5681905,94.8,67.0,0.0,,,,
Thomas J Higgins Elementary Community Academy,ES,41.68100687,-87.64702985,95.2,,0.5,,,,
Thomas J Waters Elementary School,ES,41.96434835,-87.69136881,96.1,85.0,0.4,,,,
Thomas Kelly High School,HS,41.81871101,-87.69467483,89.3,36.0,5.8,,,,
Thurgood Marshall Middle School,MS,41.9520236,-87.72035833,94.0,39.0,18.1,,,,
Turner-Drew Elementary Language Academy,ES,41.72560849,-87.6302048,95.8,56.0,24.0,,,,
Uplift Community High School,HS,41.96557412,-87.65252191,88.7,50.0,8.1,,,,
Velma F Thomas Early Childhood Center,ES,41.82776914,-87.67750501,,,0.0,,,,
Victor Herbert Elementary School,ES,41.87984242,-87.68031236,92.8,50.0,10.3,,,,
Virgil Grissom Elementary School,ES,41.66245712,-87.55334334,95.5,62.0,2.5,,,,
VOISE Academy High School,HS,41.88520477,-87.76321191,84.5,42.0,25.0,,,,
Walt Disney Magnet Elementary School,ES,41.95680712,-87.6461175,96.4,,7.7,,,,
Walter L Newberry Math & Science Academy Elementary School,ES,41.91397435,-87.64601501,95.1,71.0,2.1,,,,
Walter Payton College Preparatory High School,HS,41.90155157,-87.63453744,93.4,98.0,0.7,,,,
Walter Q Gresham Elementary School,ES,41.73891334,-87.64506169,95.5,25.0,35.4,,,,
Walter Reed Elementary School,ES,41.77839545,-87.63515406,92.4,29.0,75.5,,,,
Walter S Christopher Elementary School,ES,41.8016744,-87.68564411,86.1,,4.0,,,,
Washington D Smyser Elementary School,ES,41.95889037,-87.78201198,95.5,55.0,4.9,,,,
Washington Irving Elementary School,ES,41.87161238,-87.68357939,95.6,43.0,15.1,,,,
Wells Community Academy High School,HS,41.89900506,-87.66751989,74.1,51.0,16.9,,,,
Wendell E Green Elementary School,ES,41.71931953,-87.65248591,93.9,32.0,20.1,,,,
Wendell Phillips Academy High School,HS,41.82390751,-87.61978794,63.0,,22.0,,,,
Wendell Smith Elementary School,ES,41.70758462,-87.60468711,92.1,22.0,90.0,,,,
West Park Elementary Academy,ES,41.90691024,-87.73240646,93.7,29.0,16.3,,,,
West Pullman Elementary School,ES,41.67666008,-87.63570683,91.2,23.0,7.6,,,,
West Ridge Elementary School,ES,42.00299575,-87.70595357,94.9,67.0,6.8,,,,
Whitney M Young Magnet High School,HS,41.87859028,-87.66419634,94.6,95.0,1.2,,,,
Wildwood Elementary School,ES,42.00747007,-87.77837089,96.2,99.0,1.0,,,,
Willa Cather Elementary School,ES,41.882977,-87.69922315,94.9,69.0,29.5,,,,
William A Hinton Elementary School,ES,41.76536255,-87.6413274,91.7,18.0,28.9,,,,
William Bishop Owen Scholastic Academy Elementary School,ES,41.74287191,-87.70571301,96.9,49.0,1.2,,,,
William B Ogden Elementary School,ES,41.90003152,-87.62928901,95.1,,4.5,,,,
William C Goudy Elementary School,ES,41.97581137,-87.65794915,96.1,70.0,6.0,,,,
William C Reavis Math & Science Specialty Elementary School,ES,41.80420101,-87.6049443,93.5,48.0,37.2,,,,
William E B Dubois Elementary School,ES,41.65376037,-87.61434156,93.3,47.0,48.5,,,,
William E Dever Elementary School,ES,41.94254335,-87.813168,95.5,67.0,2.1,,,,
William F Finkl Elementary School,ES,41.84919885,-87.68570412,95.2,56.0,6.7,,,,
William G Hibbard Elementary School,ES,41.97036267,-87.71036214,96.5,,3.0,,,,
William H Brown Elementary School,ES,41.88298698,-87.67071879,92.8,36.0,59.0,,,,
William H King Elementary School,ES,41.87186209,-87.68875632,92.4,47.0,17.7,,,,
William Howard Taft High School,HS,41.98298852,-87.7915383,89.1,61.0,9.8,,,,
William H Prescott Elementary School,ES,41.92886824,-87.66955245,93.5,90.0,73.9,,,,
William H Ray Elementary School,ES,41.79234967,-87.59471544,95.1,69.0,6.7,,,,
William H Ryder Math & Science Specialty Elementary School,ES,41.73536767,-87.63887904,93.0,34.0,22.5,,,,
William H Seward Communication Arts Academy Elementary School,ES,41.81029632,-87.66880778,95.7,40.0,14.4,,,,
William J Bogan High School,HS,41.74934817,-87.72109673,75.2,20.0,5.8,,,,
William J & Charles H Mayo Elementary School,ES,41.82732778,-87.61978251,95.3,52.0,26.0,,,,
William J Onahan Elementary School,ES,41.99381787,-87.79308113,95.7,64.0,6.9,,,,
William Jones College Preparatory High School,HS,41.87441898,-87.62775497,93.8,92.0,4.5,,,,
William K New Sullivan Elementary School,ES,41.7438302,-87.542891,90.3,27.0,27.3,,,,
William Penn Elementary School,ES,41.85836995,-87.72133609,91.8,78.0,5.7,,,,
William P Gray Elementary School,ES,41.94878107,-87.75715297,95.6,57.0,5.9,,,,
William P Nixon Elementary School,ES,41.91959342,-87.73138368,95.6,52.0,3.5,,,,
William Rainey Harper High School,HS,41.77511222,-87.66912563,73.0,22.0,63.6,,,,
Williams Multiplex Elementary School,ES,41.84403809,-87.62859008,91.6,,17.0,,,,
Williams Preparatory Academy Middle School,MS,41.84403809,-87.62859008,93.3,49.0,14.8,,,,
William T Sherman Elementary School,ES,41.79978772,-87.65025483,92.3,32.0,230.6,,,,
William W Carter Elementary School,ES,41.78984129,-87.62248974,91.2,13.0,27.0,,,,
Wilma Rudolph Elementary Learning Center,ES,41.88357478,-87.66951363,80.0,,0.0,,,,
Wolfgang A Mozart Elementary School,ES,41.92092734,-87.72192541,95.2,41.0,3.6,,,,
Woodlawn Community Elementary School,ES,41.77339962,-87.59435584,93.9,70.0,12.4,,,,
World Language Academy High School,HS,41.83601953,-87.73419465,91.6,51.0,4.0,,,,
