school,level,lat,lon,attendance,safety,misconduct,cluster,outlier_score,behavior_score,academic_score
Charles Allen Prosser Career Academy High School,HS,41.92003613,-87.76108432,86.0,59.0,9.7,,,,
Charles Evans Hughes Elementary School,ES,41.86049033,-87.73177486,94.4,42.0,0.0,,,,
Charles Gates Dawes Elementary School,ES,41.74510467,-87.71738613,95.7,44.0,35.6,,,,
Charles G Hammond Elementary School,ES,41.85269133,-87.69627777,95.3,40.0,8.5,,,,
Charles H Wacker Elementary School,ES,41.7162148,-87.6480814,93.4,32.0,11.5,,,,
Charles Kozminski Elementary Community Academy,ES,41.7980295,-87.60246287,92.0,36.0,55.6,,,,
Charles N Holden Elementary School,ES,41.83805473,-87.65380002,94.9,53.0,4.7,,,,
Charles P Caldwell Academy of Math & Science Elementary School,ES,41.73922735,-87.58076569,92.7,25.0,30.7,,,,
Charles P Steinmetz Academic Centre High School,HS,41.93563171,-87.78355194,79.2,26.0,30.4,,,,
Charles R Darwin Elementary School,ES,41.92334998,-87.70543099,95.6,58.0,33.8,,,,
Charles R Henderson Elementary School,ES,41.79061716,-87.67192466,89.2,16.0,80.6,,,,
Charles S Brownell Elementary School,ES,41.77163474,-87.62170972,92.8,20.0,14.1,,,,
Charles S Deneen Elementary School,ES,41.76250359,-87.62338156,93.8,55.0,39.5,,,,
Charles Sumner  Math & Science Community Acad Elementary School,ES,41.87084922,-87.73355414,93.9,41.0,12.3,,,,
Charles W Earle Elementary School,ES,41.78230211,-87.66777712,93.8,24.0,16.9,,,,
Chicago Academy Elementary School,ES,41.94215439,-87.77650575,96.3,66.0,6.0,,,,
Chicago Academy High School,HS,41.94215439,-87.77650575,93.1,58.0,6.3,,,,
Chicago High School for Agricultural Sciences,HS,41.69119388,-87.71773863,92.8,87.0,5.2,,,,
Chicago Military Academy High School,HS,41.83053768,-87.61917837,90.3,32.0,28.2,,,,
Chicago Vocational Career Academy High School,HS,41.73720173,-87.57324389,68.8,27.0,33.3,,,,
Christian Ebinger Elementary School,ES,42.00443557,-87.81116435,95.9,78.0,9.3,,,,
Christian Fenger Academy High School,HS,41.68993885,-87.63760833,74.4,36.0,49.8,,,,
Christopher Columbus Elementary School,ES,41.89958139,-87.68190167,95.5,66.0,2.4,,,,
Clara Barton Elementary School,ES,41.75421962,-87.67096453,91.7,25.0,25.3,,,,
Claremont Academy Elementary School,ES,41.77753754,-87.68108634,92.5,36.0,64.2,,,,
Collins Academy High School,HS,41.86416169,-87.70200761,91.4,60.0,2.9,,,,
Columbia Explorers Elementary Academy,ES,41.81105689,-87.70423481,95.4,59.0,8.9,,,,
Countee Cullen Elementary School,ES,41.70036107,-87.61128176,94.1,14.0,36.9,,,,
Crispus Attucks Elementary School,ES,41.80214349,-87.6257474,95.2,45.0,12.5,,,,
Crown Community Academy of Fine Arts Center Elementary School,ES,41.85266155,-87.7125068,92.5,27.0,100.5,,,,
Cyrus H McCormick Elementary School,ES,41.84224508,-87.706336,95.9,,4.7,,,,
Daniel Boone Elementary School,ES,42.00343519,-87.69750011,95.5,52.0,10.5,,,,
Daniel C Beard Elementary School,ES,41.97009738,-87.78963691,91.9,,0.0,,,,
Daniel Hale Williams Prep School of Medicine,HS,41.80456384,-87.62448408,91.3,50.0,5.4,,,,
Daniel J Corkery Elementary School,ES,41.84559878,-87.73122946,94.7,39.0,18.1,,,,
Daniel R Cameron Elementary School,ES,41.90378521,-87.71796315,92.6,42.0,153.9,,,,
Daniel S Wentworth Elementary School,ES,41.76728177,-87.64825544,91.6,30.0,73.8,,,,
Daniel Webster Elementary School,ES,41.86988904,-87.72748159,94.8,48.0,5.7,,,,
David G Farragut Career Academy High School,HS,41.8485793,-87.70866954,86.1,43.0,18.6,,,,
DeVry University Advantage Academy High School,HS,41.94142629,-87.6907993,96.7,,0.0,,,,
Dewey Elementary Academy of Fine Arts,ES,41.7956493,-87.642615,90.7,41.0,26.3,,,,
DeWitt Clinton Elementary School,ES,41.99256421,-87.69839748,95.3,47.0,14.8,,,,
Disney II Magnet School,ES,41.95048055,-87.73060545,97.3,,0.0,,,,
Donald Morrill Math & Science Elementary School,ES,41.78428993,-87.68851192,93.4,28.0,19.6,,,,
Douglas Taylor Elementary School,ES,41.71544589,-87.5330074,95.1,34.0,16.6,,,,
Dr Jorge Prieto Math and Science,ES,41.92131717,-87.7657438,94.7,,7.0,,,,
Dr  Martin Luther King  Jr  College Prep High School,HS,41.81369471,-87.60383761,92.9,,4.4,,,,
Dumas Technology Academy,ES,41.77350389,-87.60105531,92.5,19.0,38.4,,,,
Dunne Technology Academy,ES,41.69651565,-87.63993763,94.6,46.0,22.8,,,,
Durkin Park Elementary School,ES,41.73886352,-87.72991927,95.4,61.0,0.7,,,,
Dvorak Technology Academy,ES,41.85885599,-87.71574626,94.2,46.0,4.4,,,,
Dyett High School,HS,41.80204982,-87.61192836,62.5,27.0,24.4,,,,
Edgar Allan Poe Elementary Classical School,ES,41.70261965,-87.60645552,97.6,99.0,0.0,,,,
Edgebrook Elementary School,ES,41.99946016,-87.7618211,96.9,99.0,3.4,,,,
Edison Park Elementary School,ES,41.99422812,-87.81380814,96.1,95.0,6.9,,,,
Edmond Burke Elementary School,ES,41.79679285,-87.61617809,89.3,1.0,82.0,,,,
Edward A Bouchet Math & Science Academy Elementary School,ES,41.76086093,-87.57603849,92.9,33.0,28.0,,,,
Edward Beasley Elementary Magnet Academic Center,ES,41.79847228,-87.62565509,95.0,47.0,10.3,,,,
Edward C Delano Elementary School,ES,41.87877166,-87.72464875,93.4,38.0,20.3,,,,
Edward Coles Elementary Language Academy,ES,41.74142687,-87.56593332,95.1,22.0,24.9,,,,
Edward Everett Elementary School,ES,41.83154196,-87.68127322,95.3,,2.4,,,,
Edward Jenner Elementary Academy of the Arts,ES,41.90205805,-87.64101894,88.9,50.0,16.0,,,,
Edward K Ellington Elementary School,ES,41.885506,-87.76655157,93.3,30.0,17.4,,,,
