school,x,y,level,safety,attendance,misconduct,instr,teachers
609900,-0.4601697463963448,2.741569952102088,ES,23.0,93.8,18.2,58.0,48.0
609693,1.7335919759180838,1.461134646425193,HS,74.0,93.6,2.0,80.0,71.0
610202,-5.949766736735229,-0.913813869207263,ES,6.0,91.4,65.5,41.0,44.0
609920,-1.4317021598242967,0.178320377763615,ES,44.0,95.9,3.3,48.0,43.0
610187,-0.9080079776133609,1.5860529757693318,ES,49.0,95.2,77.0,57.0,48.0
610285,-2.9852621286795076,0.5415020154716811,ES,35.0,91.9,41.5,31.0,48.0
610383,0.10763823691516457,-0.4501157679797309,HS,43.0,87.5,16.4,44.0,65.0
609857,1.23443337753998,-0.7401544852905635,ES,64.0,95.0,6.1,47.0,44.0
610241,-1.2305018586273546,1.8246954651826734,ES,26.0,91.5,58.8,76.0,48.0
609741,-0.8349348448704528,-2.0749793252167086,HS,42.0,89.3,4.3,29.0,48.0
609726,-0.3693757577425445,-2.003235505405658,HS,64.0,87.1,0.1,49.0,48.0
610182,7.460457938670968,0.9455854540598384,ES,78.0,95.8,0.8,62.0,62.0
610068,-1.9574698216379942,-0.34954111350710415,ES,35.0,95.0,24.4,33.0,48.0
610124,-0.6969040656436888,0.40289040128099196,ES,28.0,96.1,3.1,63.0,48.0
610192,-4.293495967473444,0.21643927280352673,ES,28.0,93.8,13.7,31.0,48.0
610158,0.29669128041160986,-0.9010734943108568,ES,68.0,96.2,2.6,50.0,48.0
609974,11.009947962156986,0.5908612705652972,ES,92.0,96.9,1.2,56.0,84.0
609985,0.7792321600583356,0.27930092373506366,ES,29.0,93.8,13.4,63.0,52.0
610122,1.2861437274423124,-2.328748292291978,ES,58.0,96.7,5.8,22.0,48.0
609972,-1.5479348926020016,-0.43274708019920055,ES,43.0,96.2,23.4,49.0,30.0
609856,-2.2189953227240844,-1.333950779341477,ES,38.0,95.2,6.0,30.0,31.0
610040,-0.47962134157197295,0.08397872569387767,ES,48.0,96.2,0.0,47.0,48.0
610092,-1.3148178521793052,2.702704440362399,ES,41.0,95.1,27.9,76.0,48.0
610279,-2.6111261703961293,1.9927787400831165,ES,33.0,91.8,43.1,55.0,48.0
609861,3.1894336388530236,-1.010887643741301,ES,45.0,95.1,8.4,61.0,51.0
610297,-2.289874944325537,-4.7052922969584134,HS,48.0,72.0,43.4,47.0,28.0
609798,2.926993647834721,-0.07054484999461377,ES,64.0,95.0,21.3,69.0,51.0
609768,-1.3973561915237411,-2.5507541894095835,HS,31.0,72.2,24.0,44.0,35.0
609850,2.006515104282408,-0.8900474564849962,ES,65.0,95.9,6.0,38.0,48.0
610052,-4.416039210490596,-0.900486834670358,ES,28.0,92.6,44.4,30.0,24.0
610058,-2.012673916283712,1.1144139485938531,ES,42.0,91.9,40.0,56.0,48.0
609713,-1.7372252972665543,-3.071576247133707,HS,29.0,70.5,18.5,43.0,41.0
610390,0.045652574169344554,-1.2765821802317312,HS,64.0,92.9,15.4,42.0,48.0
610110,0.4455961072834323,1.5944425927669998,ES,49.0,93.2,9.5,93.0,48.0
610273,-2.7182444086606528,2.630811503504242,ES,31.0,92.1,20.9,98.0,48.0
610384,0.09491287268795459,-1.0764366331186273,HS,58.0,92.2,7.5,65.0,48.0
610078,2.108462996962491,-0.040285335350645636,ES,67.0,96.2,3.0,51.0,48.0
609848,-3.17235362851406,0.21018921150076342,ES,39.0,92.9,49.0,39.0,48.0
610532,-2.6237053718208663,-3.985049997072671,MS,34.0,95.5,14.8,27.0,27.0
610125,-0.7178169944145207,1.045353879520652,ES,57.0,95.5,15.9,62.0,56.0
610276,-2.405538706789634,0.8514248347499175,ES,44.0,91.1,36.1,38.0,48.0
610103,-4.069520624466908,-0.13976326301468864,ES,17.0,92.1,24.6,29.0,48.0
610256,-2.98541965515302,0.8753157870995995,ES,48.0,90.5,47.9,47.0,48.0
609797,-0.23781969290206312,1.7627060052699115,ES,63.0,95.4,0.7,58.0,48.0
609766,0.5350915648003294,-0.4910867516722538,HS,57.0,87.6,3.7,20.0,69.0
609912,3.3601079443108817,0.03187837602391547,ES,55.0,94.2,1.7,38.0,59.0
610070,0.06559932514990038,-0.6271091781120214,ES,71.0,96.5,1.2,38.0,48.0
610066,5.294844467362858,-0.8914837320353709,ES,99.0,96.2,0.0,52.0,48.0
609803,7.975779153891461,-2.241872867871623,ES,99.0,96.4,2.1,74.0,48.0
609983,-2.743250547225901,-0.4879366201189786,ES,22.0,95.4,48.8,24.0,48.0
610047,-2.226612242593657,0.3331459705801755,ES,39.0,94.9,12.4,28.0,48.0
610074,-1.5931586193584553,-0.9404697282056557,ES,45.0,95.1,22.1,22.0,48.0
610200,-4.364164258424602,0.6392405507532476,ES,32.0,91.8,45.4,39.0,48.0
610107,3.294615527150403,3.7198440323739375,ES,83.0,95.5,3.2,58.0,94.0
609891,-5.391443260373126,0.45409723839891336,ES,30.0,91.4,134.8,46.0,48.0
610044,-1.726477497108297,0.56535647927733,ES,39.0,93.2,11.2,40.0,48.0
610174,1.212078783614526,1.5093001732020845,ES,38.0,97.0,13.9,58.0,48.0
610213,-1.4901463367655614,0.23830352604489696,ES,48.0,92.2,8.0,47.0,48.0
610217,4.885010182827004,-0.5343352856408305,ES,49.0,97.8,1.3,46.0,56.0
610274,-0.8558692559914333,2.129963314169835,ES,67.0,94.7,1.4,75.0,66.0
609772,2.0133429294959297,0.1192975019965127,ES,56.0,96.0,5.0,46.0,44.0
610093,-1.0857325980732493,-0.10174101236955922,ES,42.0,88.9,5.0,28.0,36.0
609796,5.84035681170164,-1.4272355143059205,ES,63.0,95.7,7.4,47.0,48.0
610031,-1.9292343142233044,1.4535327826455018,ES,44.0,94.1,14.3,38.0,72.0
610271,1.6649210114114876,0.817302403348607,ES,35.0,93.1,17.2,67.0,40.0
609932,-0.7437341338862958,0.6977879971536467,ES,48.0,91.3,4.9,47.0,48.0
610173,0.5783504885234332,2.7990144244182185,ES,38.0,92.0,3.9,58.0,48.0
609942,3.75038678184408,1.1763234009157408,ES,75.0,95.8,5.6,52.0,69.0
610216,1.2639703115048564,1.7508321670510072,ES,60.0,95.1,2.9,91.0,48.0
609789,1.202204529979445,0.9374871698224234,ES,35.0,95.1,5.6,81.0,41.0
609894,-0.3829823001286558,0.43244477201672515,ES,59.0,93.8,43.3,46.0,16.0
610089,1.2442597041083359,0.572495600899559,ES,80.0,95.6,1.9,59.0,48.0
610243,2.232553073883524,3.2454841327865984,ES,52.0,95.9,4.6,54.0,88.0
609829,1.1549101186609354,0.08350196437470071,ES,50.0,95.6,0.2,38.0,53.0
609866,6.5300220809469325,0.09597664950839094,ES,87.0,95.9,1.4,39.0,56.0
609893,7.13993768290913,0.9447192899103646,ES,74.0,95.6,10.8,79.0,51.0
609959,3.60982060018194,-1.3262385451483925,ES,32.0,98.4,0.3,37.0,48.0
610176,-1.0502263923642838,0.665472655943689,ES,32.0,93.2,40.8,51.0,42.0
609898,-2.236498638571851,-0.7606266786964151,ES,42.0,95.3,13.1,34.0,32.0
609919,-2.298984211413028,-0.6328662291312536,ES,13.0,92.9,37.1,55.0,35.0
609718,-1.721876434714501,-3.676355082615806,HS,53.0,83.0,22.0,27.0,24.0
610263,-3.011307233717817,0.43299439414551616,ES,42.0,94.1,28.2,42.0,21.0
610228,-2.8852508404077266,0.2608071868475138,ES,65.0,94.9,3.8,24.0,48.0
609694,-0.8688743786956092,-3.28995662294941,HS,51.0,78.2,7.5,41.0,42.0
609971,-0.8675367896412884,0.7165982304257863,ES,51.0,93.0,8.7,61.0,36.0
609975,-0.20590151144650123,1.9115591651139274,ES,44.0,92.9,30.8,61.0,48.0
609964,-1.3204745973779393,-1.1774897398147894,ES,33.0,94.4,7.5,43.0,33.0
610026,2.6656384697774533,-0.5351104765733793,ES,64.0,95.4,14.9,54.0,48.0
610207,1.7623994942103063,-0.6494329876556274,ES,74.0,97.2,0.3,31.0,48.0
609782,7.100094612902188,1.4955984369281623,ES,95.0,96.2,4.5,60.0,65.0
610126,3.957623548938611,1.8026607914015766,ES,48.0,95.5,19.2,47.0,78.0
610054,0.13620102326607314,0.14473149443919456,ES,72.0,95.7,5.4,39.0,48.0
609723,-1.0575684675069374,-2.3793799618581075,HS,51.0,74.1,42.9,46.0,42.0
609710,-0.901204881199196,-2.8830250210151274,HS,48.0,81.2,21.6,47.0,48.0
609954,1.6159628829843713,1.9613636773473135,ES,44.0,95.2,3.2,43.0,59.0
610180,-3.392804554892991,1.6326534838494557,ES,37.0,92.4,20.1,64.0,48.0
610199,-0.3302680433472655,1.5531492316688338,ES,60.0,95.9,23.4,63.0,48.0
610111,2.886434480261781,1.0196933187078145,ES,75.0,96.3,12.8,68.0,48.0
609775,-0.3752767478083446,0.14558989231517655,ES,48.0,91.9,32.9,58.0,35.0
610184,0.088414367686087,1.705185849105468,ES,66.0,96.2,5.9,67.0,43.0
610269,-0.45819863593745014,0.5061827049688754,ES,56.0,94.0,8.8,41.0,42.0
610130,0.6655909508536815,1.3117784154664236,ES,26.0,93.5,20.8,62.0,46.0
609864,-1.9592838628299245,1.6632758063139705,ES,48.0,94.0,26.0,47.0,48.0
609937,4.480812028241685,-0.813933990473672,ES,60.0,95.3,10.2,51.0,55.0
610225,-2.1428562272736125,-0.8163296135617963,ES,45.0,92.4,11.1,28.0,21.0
609828,3.441772120984327,1.3204086382932698,ES,71.0,95.9,4.3,51.0,63.0
610159,-0.4506110441577152,-1.410411571856541,ES,44.0,95.9,8.0,20.0,48.0
609865,-2.4575760795381236,-1.1305255670030863,ES,61.0,95.6,16.4,49.0,15.0
610313,0.15686785554086263,0.11144597501565999,ES,57.0,95.0,29.0,40.0,64.0
609950,0.48849064918693,0.7853176542939684,ES,48.0,95.8,3.6,47.0,54.0
610242,0.8976634389842413,1.8335506155728525,ES,50.0,96.5,13.7,59.0,54.0
609938,-2.235505718013538,-1.55466953212384,ES,32.0,96.1,16.8,28.0,17.0
610041,1.8356069137557163,0.46299963523478055,ES,57.0,95.5,2.2,56.0,45.0
610015,-0.8983914311118031,-0.042421620659176845,ES,36.0,96.4,5.3,53.0,43.0
609925,0.2806680641421891,1.047967326590831,ES,58.0,95.2,4.4,45.0,50.0
