school,x,y,level,safety,attendance,misconduct,instr,teachers,outlier_score,cluster_x,cluster_y,cluster,behavior_score,academic_score,safety_dev,instr_dev,misconduct_dev
609799,8.294608673289286,-2.2035936870773454,ES,99.0,96.3,6.3,46.0,51.0,12.440713872292838,High,Low,High-Low,97.53091160433146,46.0,49.62770562770563,-3.164502164502167,-16.214718614718613
609947,0.06472399370932527,-0.8609423051997587,ES,49.0,92.5,27.4,33.0,41.0,9.443192978042065,Mid,Low,Mid-Low,87.36272175716151,33.0,-0.3722943722943697,-16.164502164502167,4.885281385281385
609963,1.8880414257605325,1.494202326343255,ES,73.0,95.3,12.5,59.0,48.0,8.928635064263608,High,High,High-High,94.11335534905155,59.0,23.62770562770563,9.835497835497833,-10.014718614718614
610210,-4.477372114736258,0.6805850526623364,ES,31.0,92.5,185.5,45.0,48.0,52.17093364917817,Low,Mid,Low-Mid,25.961907687581597,45.0,-18.37229437229437,-4.164502164502167,162.98528138528138
609808,-2.633195107872334,1.417362380297622,ES,28.0,94.9,2.9,60.0,48.0,10.908699618119558,Low,High,Low-High,96.0563704784579,60.0,-21.37229437229437,10.835497835497833,-19.614718614718615
610028,-3.8142514173837307,-1.2920455286221917,ES,19.0,90.1,31.2,13.0,19.0,17.803969940551507,Low,Low,Low-Low,84.65939635972659,13.0,-30.37229437229437,-36.16450216450217,8.685281385281385
610098,-2.0285293825393844,-0.317366198481645,ES,37.0,94.6,24.8,35.0,36.0,7.119479356246837,Low,Mid,Low-Mid,87.9809538437908,35.0,-12.37229437229437,-14.164502164502167,2.2852813852813867
609788,1.1181163373622058,1.8788103600299582,ES,46.0,95.6,28.5,58.0,48.0,9.50131812728298,High,High,High-High,86.94416711466093,58.0,-3.3722943722943697,8.835497835497833,5.985281385281386
610334,-0.4544308503947775,-1.8772098203512086,HS,52.0,80.3,14.0,53.0,48.0,6.553752495993089,Mid,Low,Mid-Low,92.15498041625068,53.0,2.516129032258064,8.451612903225808,-1.596774193548388
610131,-1.8961325525511474,-0.8583455852914442,ES,45.0,96.9,0.6,28.0,48.0,8.371003146270635,Low,Low,Low-Low,97.66914983488212,28.0,-4.37229437229437,-21.164502164502167,-21.914718614718613
610316,2.98106459117531,1.0490583354931415,ES,81.0,96.3,33.4,73.0,54.0,22.680798844179606,High,High,High-High,86.43345365179327,73.0,31.62770562770563,23.835497835497833,10.885281385281385
609780,-2.2802188009299242,-3.590255182076175,MS,38.0,94.3,5.3,35.0,26.0,5.495936829011669,Low,Low,Low-Low,95.49573765455803,35.0,-10.0,-1.9090909090909065,-2.1818181818181817
610339,-3.054344242623616,-0.7321928134370825,ES,23.0,91.4,34.3,42.0,42.0,9.587024242746365,Low,Low,Low-Low,83.67252899162891,42.0,-26.37229437229437,-7.164502164502167,11.785281385281383
610320,-1.1204268780266764,0.8099899266028501,ES,57.0,95.4,77.5,14.0,48.0,35.80894991907882,Mid,High,Mid-High,68.5431226480301,14.0,7.62770562770563,-35.16450216450217,54.98528138528138
609837,-0.485008694717525,-1.3820767376715926,ES,48.0,94.6,6.2,63.0,31.0,4.274229804726453,Mid,Low,Mid-Low,95.54565701559021,63.0,-1.3722943722943697,13.835497835497833,-16.314718614718615
