id,school,level,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,safety,attendance,misconduct,instr,teachers,leaders,isat_exc_math,isat_exc_read,isat_va_math,isat_va_read
10,Amelia Earhart Options for Knowledge Elementary School,ES,1.4584207790927948,0.9175536604704707,0.7020987146143732,1.3033450639059434,0.2464448828754467,-0.858564215359129,0.37078167082772207,0.6566795045859172,-0.12348608237979057,0.7931459802731942,81.0,96.3,33.4,73.0,54.0,34.0,27.5,26.4,0.1,1.0
11,Ames Middle School,MS,-0.6797027763812253,-0.15261541614315843,-0.6446688610104437,-0.9942014989294635,-1.2869899439051105,-1.289016029054169,-0.3962820500433001,-0.8662442226004516,-2.0621754303218953,-1.6224204321054427,38.0,94.3,5.3,35.0,26.0,26.0,14.5,3.0,-1.9,-1.5
12,Amos Alonzo Stagg Elementary School,ES,-1.4255598306163486,-1.7043605772329162,0.7452336191717516,-0.5709692373545201,-0.4107414714590778,-1.342822505766049,-0.7975153809604502,-0.5538496118955554,-0.6081584193653168,-0.26970324117340605,23.0,91.4,34.3,42.0,42.0,25.0,7.7,7.8,-0.4,-0.1
13,Andrew Carnegie Elementary School,ES,-0.18246474022447642,0.007909945348884418,-0.6015339564530653,0.6987275473703101,-1.0131622962657252,-0.4281124016640889,0.010851771034396203,0.26618624120479695,-1.3836341585421588,-0.07645792818311511,48.0,94.6,6.2,63.0,31.0,42.0,21.4,20.4,-1.2,0.1
14,Anna R. Langford Community Academy,ES,-1.0277694016909495,-1.4903267619101948,0.4912169590005229,-1.1755867538901534,0.02738276476393852,-0.05146706468092884,-0.5083913630936803,-0.5733742750646115,0.2642517872086304,0.02016472831203036,31.0,91.8,29.0,32.0,50.0,49.0,12.6,7.5,0.5,0.2
15,Annie Keller Elementary Gifted Magnet School,ES,2.353449244174943,1.5596551064386497,-0.663839929702612,1.8475008287880137,1.7798797096560037,2.3698243873536717,4.223801745664471,4.9455971807218875,1.3305309285767883,2.049240514710085,99.0,97.5,4.9,82.0,82.0,94.0,92.8,92.3,1.6,2.3
16,Arthur E Canty Elementary School,ES,1.7567636007868441,0.8105367528091063,-0.7884518762017053,0.7591892990238734,-0.1369138238196926,-0.05146706468092884,1.5449792127764403,1.1643207469813739,0.07038285241441991,-0.07645792818311511,87.0,96.1,2.3,64.0,47.0,49.0,47.4,34.2,0.3,0.1
17,Ashburn Community Elementary School,ES,-0.18246474022447642,0.4894860298250206,0.46725312313531264,-0.6918927406616467,1.1226933553214793,0.9708559928447914,-0.36087910908002213,-0.4432098539375714,0.16731731981152517,-0.7528165236491334,48.0,95.5,28.5,40.0,70.0,68.0,15.1,9.5,0.4,-0.6
18,Avalon Park Elementary School,ES,-0.9780455980752746,-1.329801400418152,1.5983461759732376,-1.1755867538901534,-1.8346452391838808,-0.9661771687828891,-0.7857144006393574,-0.7295715804170596,0.845858591591262,0.9863912932634852,32.0,92.1,52.1,32.0,16.0,32.0,7.9,5.1,1.1,1.2
19,Belmont-Cragin Elementary School,ES,1.1600779573987456,0.38246912216365614,-0.8363795479321259,0.8801128023310001,0.19167935334756964,-0.2666929715284489,-0.6027992056624214,-0.34558653809229134,-0.026551614982685316,0.7931459802731942,75.0,95.3,1.3,66.0,53.0,45.0,11.0,11.0,0.2,1.0
20,Benjamin E Mays Elementary Academy,ES,-1.226664616153649,0.4894860298250206,-0.8843072196625463,-0.20819872743314005,-0.684569119098463,-0.4819188783759689,-0.22516783538745674,-0.4367016328812194,-0.12348608237979057,-0.26970324117340605,27.0,95.5,0.3,48.0,37.0,41.0,17.4,9.6,0.1,-0.1
21,Bernhard Moos Elementary School,ES,-0.08301713299312664,-0.8482253159420159,1.2820235425524618,-1.1755867538901534,-1.0131622962657252,-0.858564215359129,0.16426451520860072,-0.5733742750646115,1.1366619937825777,0.02016472831203036,50.0,93.0,45.5,32.0,31.0,34.0,24.0,7.5,1.4,0.2
22,Beulah Shoesmith Elementary School,ES,-0.3316361510715011,0.06141839917957043,-0.8843072196625463,-0.7523544923152101,-0.46550700098695486,-0.697144785223489,-0.614600185983514,0.2141204727539811,-0.22042054977689582,1.3728819192440669,45.0,94.7,0.3,39.0,41.0,37.0,10.8,19.6,0.0,1.6
23,Burnham Elementary Inclusive Academy,ES,0.4639447067792971,0.4894860298250206,0.5103880276926911,2.8753506068985906,1.1774588848493563,0.8094365627091513,0.9018257852768912,0.37031777810642913,1.0397275263854724,0.40665535429261224,61.0,95.5,29.4,99.0,71.0,65.0,36.5,22.0,1.3,0.6
